time,CO2 (mA),H2O (mA),SO2 (mA),H2S (mA),,SO2 ,H2S
14:25:21,13.137393,19.75216675,5.427245617,4.264008522,,5.427245617,4.264008522
14:25:22,13.15773487,19.68100357,5.437421799,4.304673195,,5.437421799,4.304673195
14:25:23,13.137393,19.58442497,5.518831253,4.269091606,,5.518831253,4.269091606
14:25:24,13.06619453,19.64542198,5.427245617,4.330088615,,5.427245617,4.330088615
14:25:25,13.07636547,19.77758217,5.473038197,4.314839363,,5.473038197,4.314839363
14:25:26,13.06110859,19.85382843,5.44759798,4.314839363,,5.44759798,4.314839363
14:25:27,13.12722111,19.85891151,5.396717072,4.314839363,,5.396717072,4.314839363
14:25:28,13.10179329,19.88432693,5.361100197,4.27417469,,5.361100197,4.27417469
14:25:29,13.15773487,19.98598862,5.244074345,4.314839363,,5.244074345,4.314839363
14:25:30,13.15264988,19.98090553,5.305131435,4.284340858,,5.305131435,4.284340858
14:25:31,13.11196518,19.97582245,5.305131435,4.309756279,,5.305131435,4.309756279
14:25:32,13.06619453,19.98090553,5.289866924,4.386002541,,5.289866924,4.386002541
14:25:33,13.16790581,19.90465927,5.264426708,4.223343849,,5.264426708,4.223343849
14:25:34,13.28487492,19.57934189,5.310219288,4.299590111,,5.310219288,4.299590111
14:25:35,13.34590149,19.58950806,5.213545799,4.350420952,,5.213545799,4.350420952
14:25:36,13.36624432,19.69625282,5.335659981,4.314839363,,5.335659981,4.314839363
14:25:37,13.31030273,19.63525581,5.294955254,4.3351717,,5.294955254,4.3351717
14:25:38,13.27470398,19.50817871,5.366188526,4.269091606,,5.366188526,4.269091606
14:25:39,13.18824863,19.47259712,5.254250526,4.223343849,,5.254250526,4.223343849
14:25:40,13.11196518,19.42684937,5.279690742,4.294507027,,5.279690742,4.294507027
14:25:41,13.10687923,19.6708374,5.294955254,4.279257774,,5.294955254,4.279257774
14:25:42,13.06110859,19.72166824,5.294955254,4.243676186,,5.294955254,4.243676186
14:25:43,13.03059578,19.55900955,5.279690742,4.228426933,,5.279690742,4.228426933
14:25:44,12.94922638,19.41160011,5.300043106,4.218260765,,5.300043106,4.218260765
14:25:45,12.86785698,19.33027077,5.269514561,4.294507027,,5.269514561,4.294507027
14:25:46,12.84242821,19.26927376,5.289866924,4.3351717,,5.289866924,4.3351717
14:25:47,12.84242821,19.35568619,5.228809834,4.340254784,,5.228809834,4.340254784
14:25:48,12.8119154,19.60984039,5.20845747,4.304673195,,5.20845747,4.304673195
14:25:49,12.72546005,19.69625282,5.223721981,4.27417469,,5.223721981,4.27417469
14:25:50,12.71528912,19.72675133,5.167752743,4.223343849,,5.167752743,4.223343849
14:25:51,12.72546005,19.76233292,5.16266489,4.223343849,,5.16266489,4.223343849
14:25:52,12.7712307,19.767416,5.086343288,4.279257774,,5.086343288,4.279257774
14:25:53,12.72546005,19.57934189,5.137224197,4.233510017,,5.137224197,4.233510017
14:25:54,12.63900471,19.50309563,5.086343288,4.218260765,,5.086343288,4.218260765
14:25:55,12.61866283,19.5437603,5.121960163,4.27417469,,5.121960163,4.27417469
14:25:56,12.6084919,19.6708374,5.025286198,4.182679176,,5.025286198,4.182679176
14:25:57,12.62374878,19.83857918,5.127048016,4.350420952,,5.127048016,4.350420952
14:25:58,12.61357689,19.83857918,5.116871834,4.27417469,,5.116871834,4.27417469
14:25:59,12.58814907,19.86907768,5.060903072,4.223343849,,5.060903072,4.223343849
14:26:00,12.61866283,19.97582245,5.030374527,4.309756279,,5.030374527,4.309756279
14:26:01,12.6491766,19.88941002,5.010022163,4.192845345,,5.010022163,4.192845345
14:26:02,12.67968941,19.85891151,4.959141254,4.258925438,,4.959141254,4.258925438
14:26:03,12.76614475,19.95040703,4.933700562,4.365670204,,4.933700562,4.365670204
14:26:04,12.730546,19.93515778,4.974405289,4.253842354,,4.974405289,4.253842354
14:26:05,12.75088787,19.87416077,4.933700562,4.258925438,,4.933700562,4.258925438
14:26:06,12.70003223,19.83857918,4.9896698,4.213177681,,4.9896698,4.213177681
14:26:07,12.64409065,19.76233292,4.903172016,4.16234684,,4.903172016,4.16234684
14:26:08,12.71020317,19.8944931,4.918436527,4.243676186,,4.918436527,4.243676186
14:26:09,12.6898613,19.84874535,4.928612709,4.345337868,,4.928612709,4.345337868
14:26:10,12.6898613,19.73183441,4.928612709,4.269091606,,4.928612709,4.269091606
14:26:11,12.71528912,19.84366226,4.887907982,4.269091606,,4.887907982,4.269091606
14:26:12,12.71528912,19.98090553,5.010022163,4.350420952,,5.010022163,4.350420952
14:26:13,12.730546,19.98598862,4.908260345,4.243676186,,4.908260345,4.243676186
14:26:14,12.75088787,19.98090553,4.908260345,4.218260765,,4.908260345,4.218260765
14:26:15,12.72546005,19.98090553,4.938788891,4.203011513,,4.938788891,4.203011513
14:26:16,12.74580288,19.97582245,5.010022163,4.294507027,,5.010022163,4.294507027
14:26:17,12.74071693,19.98598862,4.898084164,4.192845345,,4.898084164,4.192845345
14:26:18,12.74071693,19.98090553,4.974405289,4.294507027,,4.974405289,4.294507027
14:26:19,12.75088787,19.97582245,4.908260345,4.258925438,,4.908260345,4.258925438
14:26:20,12.72037411,19.98090553,5.045638561,4.203011513,,5.045638561,4.203011513
14:26:21,12.730546,19.97582245,4.959141254,4.258925438,,4.959141254,4.258925438
14:26:22,12.730546,19.98090553,4.974405289,4.203011513,,4.974405289,4.203011513
14:26:23,12.74580288,19.97582245,4.979493618,4.233510017,,4.979493618,4.233510017
14:26:24,12.76614475,19.98598862,4.98458147,4.197928429,,4.98458147,4.197928429
14:26:25,12.75088787,19.97582245,4.969317436,4.233510017,,4.969317436,4.233510017
14:26:26,12.74580288,19.98090553,4.98458147,4.228426933,,4.98458147,4.228426933
14:26:27,12.7712307,19.97582245,5.071079254,4.213177681,,5.071079254,4.213177681
14:26:28,12.76105881,19.98090553,5.030374527,4.208094597,,5.030374527,4.208094597
14:26:29,12.74071693,19.97582245,5.035462379,4.167429924,,5.035462379,4.167429924
14:26:30,12.75088787,19.98090553,4.994757652,4.258925438,,4.994757652,4.258925438
14:26:31,12.73563099,19.98090553,5.091431618,4.218260765,,5.091431618,4.218260765
14:26:32,12.72037411,19.98598862,5.040550709,4.203011513,,5.040550709,4.203011513
14:26:33,12.76105881,19.98090553,5.050726891,4.258925438,,5.050726891,4.258925438
14:26:34,12.71528912,19.98598862,5.025286198,4.253842354,,5.025286198,4.253842354
14:26:35,12.730546,19.98090553,5.076167107,4.325005531,,5.076167107,4.325005531
14:26:36,12.79665852,19.97582245,5.106695652,4.314839363,,5.106695652,4.314839363
14:26:37,12.79665852,19.98598862,4.954052925,4.299590111,,4.954052925,4.299590111
14:26:38,12.8119154,19.98090553,4.954052925,4.3351717,,4.954052925,4.3351717
14:26:39,12.84242821,19.98090553,4.999845982,4.264008522,,4.999845982,4.264008522
14:26:40,12.82717228,19.98090553,4.969317436,4.167429924,,4.969317436,4.167429924
14:26:41,12.8526001,19.98598862,5.106695652,4.208094597,,5.106695652,4.208094597
14:26:42,12.85768509,19.97582245,5.167752743,4.330088615,,5.167752743,4.330088615
14:26:43,12.87802792,19.97582245,5.188105106,4.18776226,,5.188105106,4.18776226
14:26:44,12.98482513,19.98090553,5.223721981,4.213177681,,5.223721981,4.213177681
14:26:45,13.12722111,19.98598862,5.249162197,4.314839363,,5.249162197,4.314839363
